,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,ppi,Speed,HDD,SSD
1278,Dell,Notebook,Intel Celeron Dual,2,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1279,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,Windows,2.6,0,1,141.21199808219862,2.6,1000,0
1280,HP,Notebook,AMD Processor,6,AMD Radeon,Windows,2.04,0,0,141.21199808219862,2.9,0,0
1281,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.3,0,0,100.45466986113651,2.7,1000,0
1282,HP,Netbook,Intel Celeron Dual,2,Intel HD,Windows,1.17,0,0,135.0942111925629,1.6,0,0
1283,Asus,Notebook,Intel Core i7,4,Nvidia GeForce,Windows,2.2,0,0,100.45466986113651,2.5,500,0
1284,Lenovo,2 in 1 Convertible,Intel Core i7,4,Intel HD,Windows,1.8,1,1,157.3505121487356,2.5,0,128
1285,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows,1.3,1,1,276.053530085501,2.5,0,512
1286,Lenovo,Notebook,Intel Celeron Dual,2,Intel HD,Windows,1.5,0,0,111.93520355955211,1.6,0,0
1287,HP,Notebook,Intel Core i7,6,AMD Radeon,Windows,2.19,0,0,100.45466986113651,2.5,1000,0
1288,Asus,Notebook,Intel Celeron Dual,4,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1289,Asus,Ultrabook,Other Intel Processor,8,Intel HD,Windows,1.2,0,1,165.6321180513006,0.9,0,512
1290,Dell,Notebook,Intel Core i3,6,Intel HD,Windows,2.3,0,0,100.45466986113651,2.4,1000,0
1291,Acer,Notebook,Intel Celeron Dual,4,Intel HD,Linux,2.4,0,0,100.45466986113651,1.6,500,0
1292,Dell,Notebook,Intel Celeron Dual,2,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
1293,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,Windows,2.6,0,1,141.21199808219862,2.6,1000,0
1294,HP,Notebook,AMD Processor,6,AMD Radeon,Windows,2.04,0,0,141.21199808219862,2.9,0,0
1295,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.3,0,0,100.45466986113651,2.7,1000,0
1296,HP,Netbook,Intel Celeron Dual,2,Intel HD,Windows,1.17,0,0,135.0942111925629,1.6,0,0
1297,Asus,Notebook,Intel Core i7,4,Nvidia GeForce,Windows,2.2,0,0,100.45466986113651,2.5,500,0
1298,Lenovo,2 in 1 Convertible,Intel Core i7,4,Intel HD,Windows,1.8,1,1,157.3505121487356,2.5,0,128
1299,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows,1.3,1,1,276.053530085501,2.5,0,512
1300,Lenovo,Notebook,Intel Celeron Dual,2,Intel HD,Windows,1.5,0,0,111.93520355955211,1.6,0,0
1301,HP,Notebook,Intel Core i7,6,AMD Radeon,Windows,2.19,0,0,100.45466986113651,2.5,1000,0
1302,Asus,Notebook,Intel Celeron Dual,4,Intel HD,Windows,2.2,0,0,100.45466986113651,1.6,500,0
